date,channel,spend,impressions,clicks
2025-11-16,Influencer,240.37,11266,285
2025-11-16,Google Ads,151.28,7762,222
2025-11-17,Instagram Ads,318.12,13547,412
2025-11-17,Influencer,200.13,9823,322
2025-11-17,Google Ads,164.94,6689,125
2025-11-18,Instagram Ads,282.73,14144,316
2025-11-18,Influencer,159.2,5885,126
2025-11-18,Google Ads,103.18,3933,112
2025-11-19,Instagram Ads,234.91,8774,279
2025-11-19,Influencer,238.98,9937,166
2025-11-19,Google Ads,148.23,6255,99
2025-11-20,Instagram Ads,262.25,9898,265
2025-11-20,Influencer,245.3,12476,323
2025-11-20,Google Ads,125.83,5961,142
2025-11-21,Instagram Ads,279.73,13590,441
2025-11-21,Influencer,182.9,9479,223
2025-11-21,Google Ads,124.19,4417,127
2025-11-22,Instagram Ads,390.89,18868,340
2025-11-22,Influencer,150.87,7008,161
2025-11-22,Google Ads,126.38,6869,202
2025-11-23,Instagram Ads,312.53,11057,173
2025-11-23,Influencer,219.95,11383,331
2025-11-23,Google Ads,124.55,4436,152
2025-11-24,Instagram Ads,426.29,19603,321
2025-11-24,Influencer,202.87,10721,306
2025-11-24,Google Ads,149.42,5483,93
2025-11-25,Instagram Ads,256.22,13602,347
2025-11-25,Influencer,232.64,8678,291
2025-11-25,Google Ads,157.43,6217,201
2025-11-26,Instagram Ads,283.16,11073,224
2025-11-26,Influencer,246.7,13152,283
2025-11-26,Google Ads,148.27,7193,223
2025-11-27,Instagram Ads,289.71,13095,371
2025-11-27,Influencer,141.72,6028,174
2025-11-27,Google Ads,112.41,6087,94
2025-11-28,Instagram Ads,420.7,16548,264
2025-11-28,Influencer,173.35,8793,264
2025-11-28,Google Ads,108.94,4241,118
2025-11-29,Instagram Ads,321.7,16357,253
2025-11-29,Influencer,211.12,10474,365
2025-11-29,Google Ads,146.16,5793,99
2025-11-30,Instagram Ads,357.9,16271,536
2025-11-30,Influencer,224.92,10165,234
2025-11-30,Google Ads,124.43,4918,75
2025-12-01,Instagram Ads,386.63,15174,290
2025-12-01,Influencer,172.1,6676,104
2025-12-01,Google Ads,163.47,7033,184
2025-12-02,Instagram Ads,400.4,21801,356
2025-12-02,Influencer,211.07,8425,206
2025-12-02,Google Ads,185.34,9170,258
2025-12-03,Instagram Ads,356.96,17284,270
2025-12-03,Influencer,233.49,10758,235
2025-12-03,Google Ads,121.49,6214,99
2025-12-04,Instagram Ads,274.47,12024,241
2025-12-04,Influencer,254.69,12144,369
2025-12-04,Google Ads,132.43,6596,212
2025-12-05,Instagram Ads,335.65,14029,462
2025-12-05,Influencer,162.03,6805,118
2025-12-05,Google Ads,106.17,3955,93
2025-12-06,Instagram Ads,411.5,16783,536
2025-12-06,Influencer,213.69,11617,395
2025-12-06,Google Ads,172.27,9241,269
2025-12-07,Instagram Ads,457.82,18188,398
2025-12-07,Influencer,255.69,11120,353
2025-12-07,Google Ads,181.53,7441,234
2025-12-08,Instagram Ads,293.25,12223,309
2025-12-08,Influencer,185.56,8644,229
2025-12-08,Google Ads,121.97,6209,171
2025-12-09,Instagram Ads,329.54,13064,425
2025-12-09,Influencer,266.72,10560,165
2025-12-09,Google Ads,175.04,8281,140
2025-12-10,Instagram Ads,389.39,17150,522
2025-12-10,Influencer,183.25,8074,146
2025-12-10,Google Ads,188.63,9539,283
2025-12-11,Instagram Ads,412.23,17918,599
2025-12-11,Influencer,165.11,8431,162
2025-12-11,Google Ads,132.37,6008,184
2025-12-12,Instagram Ads,445.15,20777,479
2025-12-12,Influencer,281.47,11239,349
2025-12-12,Google Ads,157.95,6718,100
2025-12-13,Instagram Ads,358.15,14517,248
2025-12-13,Influencer,165.41,6939,189
2025-12-13,Google Ads,177.97,6882,161
2025-12-14,Instagram Ads,346.01,15663,488
2025-12-14,Influencer,229.15,11900,301
2025-12-14,Google Ads,157.22,6878,216
2025-12-15,Instagram Ads,464.09,22175,696
2025-12-15,Influencer,163.26,8672,162
2025-12-15,Google Ads,126.38,4558,156
2025-12-16,Instagram Ads,448.15,23870,762
2025-12-16,Influencer,219.27,11726,403
2025-12-16,Google Ads,148.23,5708,160
2025-12-17,Instagram Ads,475.55,24939,803
2025-12-17,Influencer,279.78,14794,451
2025-12-17,Google Ads,167.38,6744,184
2025-12-18,Instagram Ads,374.77,19577,486
2025-12-18,Influencer,172.42,6051,172
2025-12-18,Google Ads,152.43,6344,116
2025-12-19,Instagram Ads,362.61,13418,291
2025-12-19,Influencer,205.91,9124,222
2025-12-19,Google Ads,126.42,6574,145
2025-12-20,Instagram Ads,309.97,11938,256
2025-12-20,Influencer,164.4,5862,158
2025-12-20,Google Ads,158.58,7229,218
2025-12-21,Instagram Ads,267.69,14380,243
2025-12-21,Influencer,245.18,9235,301
2025-12-21,Google Ads,148.95,5458,149
2025-12-22,Instagram Ads,261.02,13186,369
2025-12-22,Influencer,183.72,7807,118
2025-12-22,Google Ads,165.2,6848,181
2025-12-23,Instagram Ads,471.39,19321,672
2025-12-23,Influencer,239.68,9549,226
2025-12-23,Google Ads,169.35,7439,121
2025-12-24,Instagram Ads,296.43,15066,421
2025-12-24,Influencer,231.3,8870,281
2025-12-24,Google Ads,188.91,6766,112
2025-12-25,Instagram Ads,455.41,23367,639
2025-12-25,Influencer,281.27,13480,260
2025-12-25,Google Ads,168.3,8063,279
2025-12-26,Instagram Ads,306.48,14391,440
2025-12-26,Influencer,200.55,8542,279
2025-12-26,Google Ads,139.49,6625,217
2025-12-27,Instagram Ads,305.58,16696,484
2025-12-27,Influencer,221.48,9660,329
2025-12-27,Google Ads,121.87,5025,106
2025-12-28,Instagram Ads,323.16,14338,498
2025-12-28,Influencer,273.79,11378,266
2025-12-28,Google Ads,163.05,5762,180
2025-12-29,Instagram Ads,454.32,23690,533
2025-12-29,Influencer,216.94,7646,175
2025-12-29,Google Ads,144.49,7678,252
2025-12-30,Instagram Ads,473.47,24952,378
2025-12-30,Influencer,240.84,8758,179
2025-12-30,Google Ads,154.95,7594,213
2025-12-31,Instagram Ads,269.89,10005,175
2025-12-31,Influencer,167.58,6462,185
2025-12-31,Google Ads,177.38,7658,220
2026-01-01,Instagram Ads,336.2,18311,402
2026-01-01,Influencer,297.05,16013,517
2026-01-01,Google Ads,121.4,5827,101
2026-01-02,Instagram Ads,288.39,10392,346
2026-01-02,Influencer,306.29,12103,313
2026-01-02,Google Ads,208.77,9380,214
2026-01-03,Instagram Ads,405.88,20620,506
2026-01-03,Influencer,287.81,12558,251
2026-01-03,Google Ads,146.92,5370,133
2026-01-04,Instagram Ads,323.44,16570,387
2026-01-04,Influencer,285.11,15421,493
2026-01-04,Google Ads,208.42,9662,176
2026-01-05,Instagram Ads,517.11,27081,874
2026-01-05,Influencer,274.53,13039,199
2026-01-05,Google Ads,188.41,6939,140
2026-01-06,Instagram Ads,422.67,18612,285
2026-01-06,Influencer,293.82,15447,442
2026-01-06,Google Ads,168.04,9110,158
2026-01-07,Instagram Ads,468.53,17601,398
2026-01-07,Influencer,258.62,12864,193
2026-01-07,Google Ads,140.44,6427,164
2026-01-08,Instagram Ads,443.86,18232,470
2026-01-08,Influencer,200.21,7755,205
2026-01-08,Google Ads,182.25,6817,118
2026-01-09,Instagram Ads,426.06,17213,393
2026-01-09,Influencer,231.35,8923,134
2026-01-09,Google Ads,198.75,9798,282
2026-01-10,Instagram Ads,421.44,20658,696
2026-01-10,Influencer,270.45,10899,287
2026-01-10,Google Ads,158.32,7303,185
2026-01-11,Instagram Ads,498.26,23934,449
2026-01-11,Influencer,181.5,7892,120
2026-01-11,Google Ads,146.12,6189,139
2026-01-12,Instagram Ads,527.92,21685,440
2026-01-12,Influencer,191.3,8650,156
2026-01-12,Google Ads,175.44,6684,177
2026-01-13,Instagram Ads,490.26,17576,411
2026-01-13,Influencer,240.25,12209,297
2026-01-13,Google Ads,170.65,8673,227
2026-01-14,Instagram Ads,375.14,13773,407
2026-01-14,Influencer,300.78,16362,548
2026-01-14,Google Ads,193.27,9251,283
2026-01-15,Instagram Ads,393.29,18443,405
2026-01-15,Influencer,220.42,11050,266
2026-01-15,Google Ads,135.68,5296,170
2026-01-16,Instagram Ads,453.73,20835,479
2026-01-16,Influencer,235.79,8523,205
2026-01-16,Google Ads,193.07,8255,187
2026-01-17,Instagram Ads,290.87,12843,199
2026-01-17,Influencer,256.38,11571,367
2026-01-17,Google Ads,172.05,7134,180
2026-01-18,Instagram Ads,459.13,16932,464
2026-01-18,Influencer,307.49,12601,346
2026-01-18,Google Ads,195.62,8849,259
2026-01-19,Instagram Ads,363.51,14947,423
2026-01-19,Influencer,276.32,14849,289
2026-01-19,Google Ads,160.87,6436,106
2026-01-20,Instagram Ads,386.19,16405,334
2026-01-20,Influencer,216.04,9118,317
2026-01-20,Google Ads,191.84,6988,226
2026-01-21,Instagram Ads,442.79,23384,510
2026-01-21,Influencer,240.76,12742,260
2026-01-21,Google Ads,204.89,10566,365
2026-01-22,Instagram Ads,366.77,14566,314
2026-01-22,Influencer,313.11,13044,343
2026-01-22,Google Ads,154.52,6632,125
2026-01-23,Instagram Ads,419.12,21789,348
2026-01-23,Influencer,303.45,14659,400
2026-01-23,Google Ads,176.39,7218,168
2026-01-24,Instagram Ads,483.63,19890,485
2026-01-24,Influencer,175.1,8697,203
2026-01-24,Google Ads,166.5,6209,216
2026-01-25,Instagram Ads,361.41,17239,458
2026-01-25,Influencer,288.08,11775,354
2026-01-25,Google Ads,152.44,6588,187
2026-01-26,Instagram Ads,479.93,23198,765
2026-01-26,Influencer,214.29,11360,200
2026-01-26,Google Ads,179.7,8257,205
2026-01-27,Instagram Ads,363.48,16383,298
2026-01-27,Influencer,226.71,8382,221
2026-01-27,Google Ads,124.22,4746,79
2026-01-28,Instagram Ads,380.8,19740,654
2026-01-28,Influencer,182.81,8718,250
2026-01-28,Google Ads,167.32,8088,159
2026-01-29,Instagram Ads,407.45,17445,292
2026-01-29,Influencer,264.53,11878,243
2026-01-29,Google Ads,161.41,8152,252
2026-01-30,Instagram Ads,446.78,19816,525
2026-01-30,Influencer,229.03,8595,195
2026-01-30,Google Ads,166.98,7844,264
2026-01-31,Instagram Ads,478.22,18191,336
2026-01-31,Influencer,187.03,9307,271
2026-01-31,Google Ads,211.86,9627,303
2026-02-01,Instagram Ads,470.64,24700,726
2026-02-01,Influencer,293.15,13573,399
2026-02-01,Google Ads,171.32,6327,99
2026-02-02,Instagram Ads,444.34,20877,346
2026-02-02,Influencer,235.48,9758,256
2026-02-02,Google Ads,156.08,5761,105
2026-02-03,Instagram Ads,361.97,18769,388
2026-02-03,Influencer,304.78,14128,487
2026-02-03,Google Ads,155.46,5933,95
2026-02-04,Instagram Ads,380.06,18501,309
2026-02-04,Influencer,228.64,11913,317
2026-02-04,Google Ads,133.51,4800,77
2026-02-05,Instagram Ads,569.31,29602,944
2026-02-05,Influencer,338.72,15278,304
2026-02-05,Google Ads,169.35,8362,271
2026-02-06,Instagram Ads,432.47,19767,664
2026-02-06,Influencer,206.41,10784,196
2026-02-06,Google Ads,178.26,7017,189
2026-02-07,Instagram Ads,465.81,19843,640
2026-02-07,Influencer,295.89,14624,263
2026-02-07,Google Ads,221.38,8487,165
2026-02-08,Instagram Ads,349.57,15313,501
2026-02-08,Influencer,229.9,9765,311
2026-02-08,Google Ads,192.72,9642,185
2026-02-09,Instagram Ads,508.45,20110,698
2026-02-09,Influencer,279.7,13680,237
2026-02-09,Google Ads,153.07,5785,131
2026-02-10,Instagram Ads,391.72,19452,334
2026-02-10,Influencer,310.83,11163,212
2026-02-10,Google Ads,211.53,10545,258
2026-02-11,Instagram Ads,328.5,15504,358
2026-02-11,Influencer,240.28,11487,272
2026-02-11,Google Ads,135.98,7250,221
2026-02-12,Instagram Ads,330.22,15025,250
2026-02-12,Influencer,324.64,15342,283
2026-02-12,Google Ads,128.24,4569,114
2026-02-13,Instagram Ads,513.28,19205,373
2026-02-13,Influencer,242.02,9526,217
2026-02-13,Google Ads,186.44,9079,311
2026-02-14,Instagram Ads,566.33,26279,780
2026-02-14,Influencer,343.04,12579,190
2026-02-14,Google Ads,129.22,5978,180
2026-02-15,Instagram Ads,414.11,19009,481
2026-02-15,Influencer,204.35,8466,130
2026-02-15,Google Ads,137.96,7068,223
2026-02-16,Instagram Ads,531.53,26330,812
2026-02-16,Influencer,297.7,14407,408
2026-02-16,Google Ads,181.52,7672,227
2026-02-17,Instagram Ads,395.63,18142,429
2026-02-17,Influencer,233.81,12741,257
2026-02-17,Google Ads,159.4,6094,191
2026-02-18,Instagram Ads,473.38,22372,702
2026-02-18,Influencer,244.55,9506,180
2026-02-18,Google Ads,205.12,9698,185
2026-02-19,Instagram Ads,354.17,13250,365
2026-02-19,Influencer,189.02,6684,152
2026-02-19,Google Ads,200.67,9812,231
2026-02-20,Instagram Ads,501.59,22783,786
2026-02-20,Influencer,215.32,10122,251
2026-02-20,Google Ads,147.0,7349,150
2026-02-21,Instagram Ads,418.06,17766,353
2026-02-21,Influencer,258.77,11506,343
2026-02-21,Google Ads,208.63,7963,213
2026-02-22,Instagram Ads,556.97,20705,506
2026-02-22,Influencer,310.56,14667,249
2026-02-22,Google Ads,168.83,7621,266
2026-02-23,Instagram Ads,363.22,19849,447
2026-02-23,Influencer,221.45,9584,261
2026-02-23,Google Ads,149.06,6085,195
2026-02-24,Instagram Ads,584.73,24186,434
2026-02-24,Influencer,317.49,14924,253
2026-02-24,Google Ads,228.25,8345,229
2026-02-25,Instagram Ads,429.46,19812,381
2026-02-25,Influencer,300.47,16283,393
2026-02-25,Google Ads,182.48,7262,238
2026-02-26,Instagram Ads,577.22,29280,757
2026-02-26,Influencer,344.0,13098,321
2026-02-26,Google Ads,184.06,8252,256
2026-02-27,Instagram Ads,496.01,18616,408
2026-02-27,Influencer,243.93,11297,235
2026-02-27,Google Ads,138.67,6666,213
2026-02-28,Instagram Ads,566.53,30848,944
2026-02-28,Influencer,211.63,11017,253
2026-02-28,Google Ads,204.83,9345,295
2026-03-01,Instagram Ads,468.1,16962,443
2026-03-01,Influencer,236.02,12818,327
2026-03-01,Google Ads,202.3,10751,295
2026-03-02,Instagram Ads,432.0,17678,442
2026-03-02,Influencer,358.67,18254,625
2026-03-02,Google Ads,145.65,5879,97
2026-03-03,Instagram Ads,563.82,21321,362
2026-03-03,Influencer,304.88,13179,386
2026-03-03,Google Ads,194.47,8460,198
2026-03-04,Instagram Ads,599.33,25713,557
2026-03-04,Influencer,265.52,10337,332
2026-03-04,Google Ads,154.44,8211,169
2026-03-05,Instagram Ads,607.43,30867,822
2026-03-05,Influencer,323.89,13446,356
2026-03-05,Google Ads,171.59,7386,223
2026-03-06,Instagram Ads,414.72,21472,483
2026-03-06,Influencer,299.67,16133,461
2026-03-06,Google Ads,213.12,10492,350
2026-03-07,Instagram Ads,416.06,19665,452
2026-03-07,Influencer,207.89,7797,167
2026-03-07,Google Ads,203.64,10717,330
2026-03-08,Instagram Ads,505.68,18445,382
2026-03-08,Influencer,270.49,12830,209
2026-03-08,Google Ads,199.55,10581,307
2026-03-09,Instagram Ads,577.34,28078,537
2026-03-09,Influencer,225.29,11622,335
2026-03-09,Google Ads,204.83,7944,215
2026-03-10,Instagram Ads,352.21,13164,279
2026-03-10,Influencer,284.08,10627,184
2026-03-10,Google Ads,222.57,10325,265
2026-03-11,Instagram Ads,476.02,25957,415
2026-03-11,Influencer,237.66,11395,202
2026-03-11,Google Ads,206.51,9572,329
2026-03-12,Instagram Ads,602.72,32493,561
2026-03-12,Influencer,358.94,13489,373
2026-03-12,Google Ads,221.88,8479,234
2026-03-13,Instagram Ads,358.42,14646,489
2026-03-13,Influencer,236.09,8571,204
2026-03-13,Google Ads,237.23,8666,191
2026-03-14,Instagram Ads,607.53,22699,481
2026-03-14,Influencer,343.11,15736,497
2026-03-14,Google Ads,150.32,8028,270
2026-03-15,Instagram Ads,388.66,13866,482
2026-03-15,Influencer,290.87,13508,369
2026-03-15,Google Ads,230.07,11788,222
2026-03-16,Instagram Ads,412.57,21675,680
2026-03-16,Influencer,314.75,17277,513
2026-03-16,Google Ads,162.58,8443,196
2026-03-17,Instagram Ads,353.63,14650,443
2026-03-17,Influencer,375.18,15203,303
2026-03-17,Google Ads,203.48,10425,312
2026-03-18,Instagram Ads,507.63,24177,479
2026-03-18,Influencer,282.11,11314,369
2026-03-18,Google Ads,150.44,7310,147
2026-03-19,Instagram Ads,482.82,19789,424
2026-03-19,Influencer,251.73,12600,281
2026-03-19,Google Ads,222.62,9822,254
2026-03-20,Instagram Ads,502.73,27407,612
2026-03-20,Influencer,242.44,12906,238
2026-03-20,Google Ads,235.33,8943,251
2026-03-21,Instagram Ads,387.26,20703,544
2026-03-21,Influencer,263.88,9976,223
2026-03-21,Google Ads,220.11,9398,187
2026-03-22,Instagram Ads,512.76,22231,407
2026-03-22,Influencer,232.96,11449,394
2026-03-22,Google Ads,164.61,8306,139
2026-03-23,Instagram Ads,455.18,20543,418
2026-03-23,Influencer,299.22,15754,533
2026-03-23,Google Ads,149.03,6026,208
2026-03-24,Instagram Ads,422.5,20640,414
2026-03-24,Influencer,268.66,10430,335
2026-03-24,Google Ads,241.0,9866,310
2026-03-25,Instagram Ads,448.32,16579,500
2026-03-25,Influencer,311.01,12592,252
2026-03-25,Google Ads,251.93,13163,410
2026-03-26,Instagram Ads,380.64,19071,367
2026-03-26,Influencer,378.21,13631,300
2026-03-26,Google Ads,187.61,9658,292
2026-03-27,Instagram Ads,453.25,20990,665
2026-03-27,Influencer,209.01,10668,362
2026-03-27,Google Ads,140.97,5062,110
2026-03-28,Instagram Ads,368.8,16443,486
