order_item_id,order_id,product_id,quantity,unit_price,line_total,customer_id,order_datetime,payment_method,order_status,discount_code,discount_pct,discount_amount,shipping_fee,gross_amount,net_revenue,is_rto,product_name,collection,category,price,unit_cost,signup_date,city,acquisition_channel,age_group
55,36,6,1,1599.0,1599.0,35,2025-10-11 17:49:00,COD,Delivered,REF10,10,159.9,49,1599.0,1488.1,0,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-11,Kolkata,Organic/Direct,18-22
56,37,8,1,699.0,699.0,36,2025-10-11 08:26:00,COD,Delivered,FESTIVE20,20,339.6,49,1698.0,1407.4,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-11,Lucknow,Referral,18-22
57,37,9,1,999.0,999.0,36,2025-10-11 08:26:00,COD,Delivered,FESTIVE20,20,339.6,49,1698.0,1407.4,0,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-11,Lucknow,Referral,18-22
58,38,2,1,999.0,999.0,37,2025-10-12 20:29:00,COD,Delivered,NONE,0,0.0,0,6496.0,6496.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-12,Pune,Organic/Direct,28-34
59,38,11,1,2299.0,2299.0,37,2025-10-12 20:29:00,COD,Delivered,NONE,0,0.0,0,6496.0,6496.0,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-12,Pune,Organic/Direct,28-34
60,38,6,2,1599.0,3198.0,37,2025-10-12 20:29:00,COD,Delivered,NONE,0,0.0,0,6496.0,6496.0,0,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-12,Pune,Organic/Direct,28-34
61,39,2,1,999.0,999.0,38,2025-10-12 16:36:00,Prepaid,Delivered,LAUNCH15,15,449.55,0,2997.0,2547.45,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-12,Hyderabad,Instagram Ads,18-22
62,39,9,2,999.0,1998.0,38,2025-10-12 16:36:00,Prepaid,Delivered,LAUNCH15,15,449.55,0,2997.0,2547.45,0,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-12,Hyderabad,Instagram Ads,18-22
63,40,4,1,1199.0,1199.0,39,2025-10-14 15:41:00,Prepaid,Delivered,REF10,10,119.9,0,1199.0,1079.1,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-10-14,Lucknow,Influencer,18-22
64,41,3,1,1299.0,1299.0,22,2025-10-14 12:12:00,Prepaid,Delivered,NONE,0,0.0,0,1299.0,1299.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-28,Nagpur,Instagram Ads,23-27
65,42,8,1,699.0,699.0,40,2025-10-14 17:44:00,COD,Delivered,REF10,10,69.9,49,699.0,678.1,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-14,Delhi,Organic/Direct,23-27
66,43,2,1,999.0,999.0,18,2025-10-15 08:20:00,COD,Delivered,WELCOME10,10,249.8,0,2498.0,2248.2,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-09-24,Kolkata,Instagram Ads,23-27
67,43,7,1,1499.0,1499.0,18,2025-10-15 08:20:00,COD,Delivered,WELCOME10,10,249.8,0,2498.0,2248.2,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-09-24,Kolkata,Instagram Ads,23-27
68,44,7,1,1499.0,1499.0,41,2025-10-15 15:20:00,COD,Delivered,NONE,0,0.0,0,1499.0,1499.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-15,Pune,Organic/Direct,23-27
69,45,2,1,999.0,999.0,42,2025-10-16 12:10:00,COD,Delivered,WELCOME10,10,99.9,49,999.0,948.1,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-16,Bengaluru,Instagram Ads,23-27
70,46,1,1,999.0,999.0,43,2025-10-16 11:32:00,COD,RTO,REF10,10,609.7,0,6097.0,5487.3,1,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-16,Nagpur,Organic/Direct,23-27
71,46,12,1,3499.0,3499.0,43,2025-10-16 11:32:00,COD,RTO,REF10,10,609.7,0,6097.0,5487.3,1,Full Fit Combo,Noir,Combo,3499,1715.0,2025-10-16,Nagpur,Organic/Direct,23-27
72,46,6,1,1599.0,1599.0,43,2025-10-16 11:32:00,COD,RTO,REF10,10,609.7,0,6097.0,5487.3,1,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-16,Nagpur,Organic/Direct,23-27
73,47,9,1,999.0,999.0,44,2025-10-16 15:55:00,COD,RTO,NONE,0,0.0,49,999.0,1048.0,1,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-16,Indore,Instagram Ads,35+
74,48,3,1,1299.0,1299.0,45,2025-10-16 11:28:00,COD,Delivered,REF10,10,199.8,0,1998.0,1798.2,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-16,Bengaluru,Influencer,23-27
75,48,8,1,699.0,699.0,45,2025-10-16 11:28:00,COD,Delivered,REF10,10,199.8,0,1998.0,1798.2,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-16,Bengaluru,Influencer,23-27
76,49,2,1,999.0,999.0,46,2025-10-17 12:09:00,COD,RTO,NONE,0,0.0,0,2997.0,2997.0,1,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-17,Pune,Referral,28-34
77,49,1,1,999.0,999.0,46,2025-10-17 12:09:00,COD,RTO,NONE,0,0.0,0,2997.0,2997.0,1,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-17,Pune,Referral,28-34
78,49,9,1,999.0,999.0,46,2025-10-17 12:09:00,COD,RTO,NONE,0,0.0,0,2997.0,2997.0,1,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-17,Pune,Referral,28-34
79,50,9,2,999.0,1998.0,47,2025-10-17 17:37:00,COD,Delivered,REF10,10,199.8,0,1998.0,1798.2,0,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-17,Lucknow,Organic/Direct,23-27
80,51,1,1,999.0,999.0,48,2025-10-17 16:37:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-17,Delhi,Organic/Direct,23-27
81,51,12,1,3499.0,3499.0,48,2025-10-17 16:37:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2,0,Full Fit Combo,Noir,Combo,3499,1715.0,2025-10-17,Delhi,Organic/Direct,23-27
82,52,7,1,1499.0,1499.0,49,2025-10-18 13:52:00,COD,Returned,NONE,0,0.0,0,1499.0,1499.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-18,Nashik,Organic/Direct,18-22
83,53,2,1,999.0,999.0,50,2025-10-18 18:41:00,Prepaid,Delivered,NONE,0,0.0,0,999.0,999.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-18,Lucknow,Instagram Ads,28-34
84,54,7,2,1499.0,2998.0,51,2025-10-18 20:08:00,COD,Delivered,FESTIVE20,20,599.6,0,2998.0,2398.4,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-18,Mumbai,Influencer,18-22
85,55,8,1,699.0,699.0,52,2025-10-18 12:04:00,Prepaid,Delivered,NONE,0,0.0,0,699.0,699.0,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-18,Mumbai,Organic/Direct,23-27
86,56,11,1,2299.0,2299.0,53,2025-10-19 14:48:00,COD,RTO,FESTIVE20,20,1079.4,0,5397.0,4317.6,1,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-19,Indore,Referral,18-22
87,56,6,1,1599.0,1599.0,53,2025-10-19 14:48:00,COD,RTO,FESTIVE20,20,1079.4,0,5397.0,4317.6,1,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-19,Indore,Referral,18-22
88,56,7,1,1499.0,1499.0,53,2025-10-19 14:48:00,COD,RTO,FESTIVE20,20,1079.4,0,5397.0,4317.6,1,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-19,Indore,Referral,18-22
89,57,5,1,1099.0,1099.0,41,2025-10-19 16:09:00,Prepaid,Delivered,NONE,0,0.0,0,7296.0,7296.0,0,Men's Polo,Blanc,Polo,1099,550.0,2025-10-15,Pune,Organic/Direct,23-27
90,57,6,1,1599.0,1599.0,41,2025-10-19 16:09:00,Prepaid,Delivered,NONE,0,0.0,0,7296.0,7296.0,0,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-15,Pune,Organic/Direct,23-27
91,57,11,2,2299.0,4598.0,41,2025-10-19 16:09:00,Prepaid,Delivered,NONE,0,0.0,0,7296.0,7296.0,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-15,Pune,Organic/Direct,23-27
92,58,8,1,699.0,699.0,33,2025-10-20 08:57:00,COD,Delivered,NONE,0,0.0,49,699.0,748.0,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-11,Indore,Instagram Ads,18-22
93,59,10,1,2199.0,2199.0,54,2025-10-21 23:22:00,COD,Delivered,FESTIVE20,20,439.8,0,2199.0,1759.2,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-21,Pune,Instagram Ads,35+
94,60,2,1,999.0,999.0,55,2025-10-21 12:51:00,COD,Delivered,LAUNCH15,15,149.85,49,999.0,898.15,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-21,Bengaluru,Instagram Ads,23-27
95,61,4,1,1199.0,1199.0,56,2025-10-21 23:20:00,COD,Cancelled,LAUNCH15,15,404.7,0,2698.0,2293.3,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-10-21,Pune,Instagram Ads,23-27
96,61,7,1,1499.0,1499.0,56,2025-10-21 23:20:00,COD,Cancelled,LAUNCH15,15,404.7,0,2698.0,2293.3,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-21,Pune,Instagram Ads,23-27
97,62,12,1,3499.0,3499.0,57,2025-10-22 15:05:00,COD,Delivered,NONE,0,0.0,0,4498.0,4498.0,0,Full Fit Combo,Noir,Combo,3499,1715.0,2025-10-22,Indore,Organic/Direct,23-27
98,62,1,1,999.0,999.0,57,2025-10-22 15:05:00,COD,Delivered,NONE,0,0.0,0,4498.0,4498.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-22,Indore,Organic/Direct,23-27
99,63,8,1,699.0,699.0,58,2025-10-22 19:21:00,COD,Delivered,NONE,0,0.0,0,4197.0,4197.0,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-22,Jaipur,Google Ads,18-22
100,63,3,1,1299.0,1299.0,58,2025-10-22 19:21:00,COD,Delivered,NONE,0,0.0,0,4197.0,4197.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-22,Jaipur,Google Ads,18-22
101,63,10,1,2199.0,2199.0,58,2025-10-22 19:21:00,COD,Delivered,NONE,0,0.0,0,4197.0,4197.0,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-22,Jaipur,Google Ads,18-22
102,64,2,1,999.0,999.0,59,2025-10-22 12:30:00,Prepaid,Delivered,NONE,0,0.0,0,999.0,999.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-22,Nagpur,Referral,28-34
103,65,3,1,1299.0,1299.0,60,2025-10-23 08:33:00,COD,Delivered,WELCOME10,10,129.9,49,1299.0,1218.1,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-23,Ahmedabad,Influencer,18-22
104,66,7,1,1499.0,1499.0,61,2025-10-23 17:10:00,Prepaid,Delivered,NONE,0,0.0,0,1499.0,1499.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-23,Lucknow,Instagram Ads,18-22
105,67,7,1,1499.0,1499.0,62,2025-10-23 08:21:00,Prepaid,Delivered,NONE,0,0.0,0,1499.0,1499.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-23,Pune,Influencer,23-27
106,68,1,1,999.0,999.0,63,2025-10-23 11:35:00,COD,Delivered,NONE,0,0.0,49,999.0,1048.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-23,Mumbai,Organic/Direct,23-27
107,69,4,1,1199.0,1199.0,62,2025-10-23 21:35:00,COD,RTO,NONE,0,0.0,49,1199.0,1248.0,1,Acid Wash Tee,Noir,Tee,1199,576.0,2025-10-23,Pune,Influencer,23-27
108,70,11,1,2299.0,2299.0,64,2025-10-24 12:57:00,COD,Cancelled,WELCOME10,10,229.9,0,2299.0,2069.1,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-24,Nagpur,Instagram Ads,18-22
109,71,10,1,2199.0,2199.0,65,2025-10-25 18:02:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-25,Nagpur,Organic/Direct,28-34
110,71,2,1,999.0,999.0,65,2025-10-25 18:02:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-25,Nagpur,Organic/Direct,28-34
111,72,3,1,1299.0,1299.0,66,2025-10-26 15:13:00,COD,Delivered,NONE,0,0.0,0,3498.0,3498.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-26,Mumbai,Referral,35+
112,72,10,1,2199.0,2199.0,66,2025-10-26 15:13:00,COD,Delivered,NONE,0,0.0,0,3498.0,3498.0,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-26,Mumbai,Referral,35+
113,73,8,1,699.0,699.0,67,2025-10-26 08:52:00,COD,RTO,WELCOME10,10,69.9,49,699.0,678.1,1,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-26,Nagpur,Organic/Direct,18-22
114,74,1,1,999.0,999.0,68,2025-10-26 17:05:00,COD,Delivered,NONE,0,0.0,49,999.0,1048.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-26,Delhi,Referral,18-22
115,75,5,1,1099.0,1099.0,57,2025-10-27 13:21:00,COD,Returned,LAUNCH15,15,164.85,49,1099.0,983.15,0,Men's Polo,Blanc,Polo,1099,550.0,2025-10-22,Indore,Organic/Direct,23-27
116,76,1,2,999.0,1998.0,69,2025-10-28 13:47:00,Prepaid,Delivered,WELCOME10,10,199.8,0,1998.0,1798.2,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-28,Mumbai,Instagram Ads,18-22
117,77,1,1,999.0,999.0,70,2025-10-28 14:02:00,COD,Delivered,NONE,0,0.0,0,2198.0,2198.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-28,Bengaluru,Referral,28-34
118,77,4,1,1199.0,1199.0,70,2025-10-28 14:02:00,COD,Delivered,NONE,0,0.0,0,2198.0,2198.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-10-28,Bengaluru,Referral,28-34
119,78,3,1,1299.0,1299.0,71,2025-10-28 12:29:00,COD,Delivered,NONE,0,0.0,49,1299.0,1348.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-28,Lucknow,Google Ads,23-27
120,79,5,1,1099.0,1099.0,72,2025-10-29 14:55:00,COD,RTO,NONE,0,0.0,0,2298.0,2298.0,1,Men's Polo,Blanc,Polo,1099,550.0,2025-10-29,Nashik,Organic/Direct,23-27
